pm2.5,pm10,no,no2,so2,co,nox,at,rh,ws,wd,bp,timestamp,nh3
53.18,113.44,6.03,4.0,4.2,,4.91,29.92,58.99,1.67,50.86,1003.9,2023-12-22 16:00:00,11.69
54.82,117.0,6.12,4.01,4.11,,5.0,29.95,57.69,1.71,67.12,1003.83,2023-12-22 16:15:00,11.68
54.82,117.0,6.12,3.89,4.14,,4.9,29.54,58.12,2.11,52.18,1003.94,2023-12-22 16:30:00,11.68
54.82,117.0,5.99,4.02,4.27,,4.9,29.47,57.94,1.35,76.14,1004.12,2023-12-22 16:45:00,11.69
52.11,111.2,6.06,4.06,4.56,,4.98,29.33,59.25,1.25,72.7,1004.3,2023-12-22 17:00:00,11.69
50.68,108.0,6.03,3.96,4.27,,4.9,28.87,60.96,1.27,75.64,1004.56,2023-12-22 17:15:00,11.69
50.68,108.0,6.05,4.0,4.24,,4.91,28.49,63.14,0.94,68.02,1004.75,2023-12-22 17:30:00,11.69
50.68,108.0,6.03,4.05,4.15,,4.97,28.14,65.17,1.0,67.77,1004.89,2023-12-22 17:45:00,11.68
54.24,115.73,6.02,4.0,4.17,,4.9,27.73,67.64,0.62,103.26,1005.07,2023-12-22 18:00:00,11.69
56.2,120.0,6.03,3.99,4.1,,4.9,27.41,69.35,0.78,81.96,1005.27,2023-12-22 18:15:00,11.69
56.2,120.0,6.02,4.01,4.08,,4.9,27.11,70.64,1.02,55.27,1005.59,2023-12-22 18:30:00,11.69
56.2,120.0,5.98,3.95,3.79,,4.81,26.85,71.8,1.06,54.15,1005.82,2023-12-22 18:45:00,11.7
68.06,145.78,5.98,4.0,4.01,,4.81,26.6,73.25,1.15,79.47,1006.05,2023-12-22 19:00:00,11.7
74.6,160.0,6.02,4.0,4.0,,4.88,26.34,76.0,1.51,84.32,1006.34,2023-12-22 19:15:00,11.69
74.6,160.0,5.94,4.05,3.82,,4.9,26.03,78.84,1.53,73.71,1006.69,2023-12-22 19:30:00,11.69
74.6,160.0,6.0,3.93,3.74,,4.84,25.77,80.4,1.34,61.49,1007.02,2023-12-22 19:45:00,11.69
63.63,136.16,6.03,3.92,3.82,,4.81,25.55,81.3,1.42,85.56,1007.25,2023-12-22 20:00:00,11.69
57.58,123.0,6.02,4.05,3.77,,4.91,25.34,82.17,1.45,86.15,1007.47,2023-12-22 20:15:00,11.68
57.58,123.0,6.02,4.01,4.01,,4.91,25.13,83.09,1.32,73.84,1007.64,2023-12-22 20:30:00,11.69
57.58,123.0,5.94,3.99,3.81,,4.81,24.93,83.96,1.38,79.7,1007.84,2023-12-22 20:45:00,11.69
49.58,105.6,6.01,3.92,3.81,,4.8,24.75,84.7,0.86,79.46,1007.94,2023-12-22 21:00:00,11.69
54.36,116.0,5.66,4.04,4.44,,4.61,27.1,59.68,1.82,129.51,1009.68,2023-12-23 10:15:00,11.7
54.36,116.0,5.71,3.92,4.55,,4.58,27.43,58.38,1.93,104.53,1009.57,2023-12-23 10:30:00,11.7
54.36,116.0,5.68,4.03,4.6,,4.67,27.62,57.61,2.38,68.55,1009.47,2023-12-23 10:45:00,11.7
52.58,112.13,5.67,4.0,4.28,,4.63,27.88,57.15,2.09,47.07,1009.28,2023-12-23 11:00:00,11.7
51.6,110.0,5.79,3.89,4.22,,4.62,28.31,56.07,1.9,90.57,1009.0,2023-12-23 11:15:00,11.7
51.6,110.0,5.77,3.93,4.05,,4.6,28.95,54.98,1.71,152.75,1008.65,2023-12-23 11:30:00,11.71
51.6,110.0,5.74,4.05,4.32,,4.7,29.37,53.62,1.58,119.03,1008.3,2023-12-23 11:45:00,11.7
50.71,108.07,5.73,4.1,4.48,,4.72,29.5,52.86,1.69,120.46,1007.98,2023-12-23 12:00:00,11.69
50.22,107.0,5.81,4.15,4.28,,4.86,29.85,51.79,1.67,79.64,1007.67,2023-12-23 12:15:00,11.69
50.22,107.0,5.78,4.01,4.56,,4.71,30.09,50.57,1.78,76.47,1007.32,2023-12-23 12:30:00,11.7
50.22,107.0,5.85,4.0,4.45,,4.74,30.27,49.67,1.65,111.81,1007.01,2023-12-23 12:45:00,11.7
44.88,95.4,5.88,4.0,4.46,,4.77,30.49,49.01,1.39,91.48,1006.76,2023-12-23 13:00:00,11.69
41.94,89.0,6.02,3.88,4.54,,4.77,30.61,47.94,1.69,70.16,1006.4,2023-12-23 13:15:00,11.7
41.94,89.0,5.95,3.95,4.31,,4.8,31.0,46.95,1.23,118.85,1005.99,2023-12-23 13:30:00,11.69
41.94,89.0,5.88,3.96,4.2,,4.78,31.35,45.38,1.14,154.77,1005.65,2023-12-23 13:45:00,11.69
42.24,89.66,5.87,4.07,4.41,,4.84,31.17,44.53,1.46,113.06,1005.43,2023-12-23 14:00:00,11.69
42.4,90.0,5.91,4.02,4.39,,4.84,31.04,44.17,1.94,64.2,1005.15,2023-12-23 14:15:00,11.69
42.4,90.0,5.8,4.09,4.17,,4.8,31.16,44.35,1.42,106.0,1004.94,2023-12-23 14:30:00,11.7
42.4,90.0,5.81,4.0,4.27,,4.74,31.4,43.58,1.53,100.31,1004.85,2023-12-23 14:45:00,11.7
40.92,86.78,5.94,3.94,4.53,,4.77,31.55,42.18,1.51,85.8,1004.83,2023-12-23 15:00:00,11.7
40.1,85.0,6.02,3.95,4.32,,4.86,31.48,40.48,1.52,94.8,1004.83,2023-12-23 15:15:00,11.69
40.1,85.0,6.17,3.81,4.48,,4.84,31.5,39.28,1.5,77.0,1004.85,2023-12-23 15:30:00,11.69
40.1,85.0,6.06,4.03,4.72,,4.96,31.37,38.73,1.52,86.31,1004.86,2023-12-23 15:45:00,11.67
38.91,82.42,5.92,4.09,4.45,,4.89,31.09,41.97,1.63,79.69,1004.91,2023-12-23 16:00:00,11.69
38.26,81.0,5.92,4.0,4.31,,4.8,30.96,42.64,1.38,90.12,1005.03,2023-12-23 16:15:00,11.7
38.26,81.0,5.87,4.05,4.27,,4.82,30.62,44.07,1.49,79.47,1005.17,2023-12-23 16:30:00,11.69
38.26,81.0,5.92,4.0,4.35,,4.81,30.23,46.33,1.48,77.85,1005.25,2023-12-23 16:45:00,11.7
40.34,85.51,5.93,4.03,4.36,,4.88,29.81,49.56,1.28,68.67,1005.34,2023-12-23 17:00:00,11.69
41.48,88.0,6.03,3.94,4.21,,4.86,29.32,52.24,0.97,86.22,1005.49,2023-12-23 17:15:00,11.69
41.48,88.0,6.05,3.96,4.27,,4.88,28.79,54.01,1.0,99.91,1005.7,2023-12-23 17:30:00,11.69
41.48,88.0,5.95,4.03,4.16,,4.88,28.34,55.86,1.07,70.94,1005.87,2023-12-23 17:45:00,11.69
42.96,91.22,5.97,4.04,4.27,,4.89,27.93,57.93,0.82,78.22,1006.06,2023-12-23 18:00:00,11.69
43.78,93.0,6.12,3.92,4.31,,4.9,27.62,59.85,0.7,96.86,1006.26,2023-12-23 18:15:00,11.68
43.78,93.0,6.05,3.93,3.87,,4.87,27.31,62.36,1.15,44.87,1006.47,2023-12-23 18:30:00,11.69
43.78,93.0,6.03,3.88,3.98,,4.82,26.99,63.86,1.09,62.46,1006.68,2023-12-23 18:45:00,11.7
55.54,118.13,6.03,3.99,4.02,,4.89,26.69,64.7,1.09,68.0,1006.97,2023-12-23 19:00:00,11.69
61.72,132.0,6.14,3.86,4.29,,4.85,26.41,65.42,1.06,43.62,1007.29,2023-12-23 19:15:00,11.69
61.72,132.0,6.12,3.89,3.84,,4.9,26.26,65.42,0.99,54.5,1007.51,2023-12-23 19:30:00,11.69
61.72,132.0,5.92,4.08,3.98,,4.9,26.19,64.88,0.98,61.28,1007.85,2023-12-23 19:45:00,11.69
60.53,129.42,6.08,3.95,3.81,,4.9,25.96,66.54,0.99,85.63,1008.1,2023-12-23 20:00:00,11.69
59.88,128.0,6.1,3.91,3.82,,4.88,25.69,68.26,0.95,57.72,1008.29,2023-12-23 20:15:00,11.69
59.88,128.0,5.93,4.01,3.73,,4.83,25.46,69.63,1.31,54.05,1008.46,2023-12-23 20:30:00,11.69
59.88,128.0,5.95,4.01,3.64,,4.86,25.11,71.98,1.29,57.18,1008.59,2023-12-23 20:45:00,11.69
62.21,133.07,6.03,3.9,3.72,,4.84,24.85,74.12,1.06,55.58,1008.69,2023-12-23 21:00:00,11.7
63.56,136.0,6.06,3.88,3.79,,4.86,24.64,75.98,1.07,55.24,1008.74,2023-12-23 21:15:00,11.69
63.56,136.0,5.99,3.93,3.55,,4.8,24.44,77.63,1.0,82.27,1008.86,2023-12-23 21:30:00,11.69
63.56,136.0,5.9,4.1,4.03,,4.89,24.22,78.46,0.79,73.54,1008.94,2023-12-23 21:45:00,11.68
62.05,132.83,6.02,3.97,3.66,,4.9,24.03,79.97,0.62,120.48,1009.02,2023-12-23 22:00:00,11.69
61.26,131.0,5.97,4.06,3.8,,4.9,23.92,81.02,0.55,80.46,1009.13,2023-12-23 22:15:00,11.68
61.26,131.0,5.99,4.04,3.79,,4.9,23.77,81.37,0.73,94.25,1009.17,2023-12-23 22:30:00,11.69
61.26,131.0,5.95,4.14,3.8,,4.93,23.63,81.64,1.01,60.41,1009.23,2023-12-23 22:45:00,11.69
53.85,114.89,5.99,4.04,3.74,,4.91,23.52,82.0,0.82,65.79,1009.27,2023-12-23 23:00:00,11.68
49.76,106.0,6.01,3.91,3.59,,4.8,23.37,82.31,1.16,52.98,1009.28,2023-12-23 23:15:00,11.69
49.76,106.0,5.95,3.92,3.75,,4.78,23.19,82.66,1.18,66.17,1009.3,2023-12-23 23:30:00,11.7
49.76,106.0,5.96,3.9,3.72,,4.8,23.03,83.13,1.11,62.06,1009.22,2023-12-23 23:45:00,11.69
43.58,92.56,6.15,3.76,3.79,,4.8,22.94,83.6,1.09,62.02,1009.1,2023-12-24 00:00:00,11.69
40.1,85.0,6.03,3.97,3.59,,4.88,22.91,83.68,1.18,68.66,1009.04,2023-12-24 00:15:00,11.68
40.1,85.0,6.01,3.91,3.64,,4.82,22.89,83.35,1.28,55.63,1008.95,2023-12-24 00:30:00,11.69
40.1,85.0,6.0,4.03,3.66,,4.89,22.9,82.7,1.52,42.36,1008.83,2023-12-24 00:45:00,11.69
39.51,83.71,5.94,4.04,3.73,,4.86,22.89,82.24,1.47,51.49,1008.64,2023-12-24 01:00:00,11.69
39.18,83.0,6.01,3.92,3.65,,4.8,22.87,81.89,1.35,54.25,1008.48,2023-12-24 01:15:00,11.69
39.18,83.0,5.92,4.06,3.86,,4.84,22.8,81.7,1.51,46.61,1008.29,2023-12-24 01:30:00,11.69
39.18,83.0,5.94,4.03,4.02,,4.83,22.75,81.2,1.62,43.58,1008.13,2023-12-24 01:45:00,11.69
41.85,88.8,5.94,4.15,4.08,,4.96,22.72,80.57,1.44,59.06,1008.05,2023-12-24 02:00:00,11.68
43.32,92.0,5.87,4.08,3.86,,4.84,22.65,80.19,1.57,48.07,1007.93,2023-12-24 02:15:00,11.69
43.32,92.0,5.9,4.02,3.83,,4.78,22.67,79.64,1.46,40.32,1007.77,2023-12-24 02:30:00,11.7
43.32,92.0,5.71,4.12,3.86,,4.76,22.75,78.88,1.67,38.43,1007.66,2023-12-24 02:45:00,11.7
45.69,97.16,5.83,4.12,4.0,,4.85,22.75,78.51,1.66,46.94,1007.67,2023-12-24 03:00:00,11.69
47.0,100.0,5.87,4.07,4.05,,4.83,22.69,78.78,1.79,43.97,1007.67,2023-12-24 03:15:00,11.69
47.0,100.0,5.83,4.02,4.02,,4.76,22.63,79.13,1.49,47.02,1007.65,2023-12-24 03:30:00,11.69
47.0,100.0,5.9,3.92,3.9,,4.74,22.58,79.4,1.61,46.13,1007.66,2023-12-24 03:45:00,11.7
44.33,94.2,5.79,4.06,3.91,,4.73,22.53,79.64,1.27,45.49,1007.86,2023-12-24 04:00:00,11.7
42.86,91.0,5.73,4.03,3.91,,4.7,22.46,80.1,1.16,50.1,1007.93,2023-12-24 04:15:00,11.7
42.86,91.0,5.66,4.18,4.01,,4.75,22.45,80.28,1.19,50.28,1007.95,2023-12-24 04:30:00,11.69
42.86,91.0,5.75,4.14,3.92,,4.78,22.44,80.36,1.24,37.83,1007.96,2023-12-24 04:45:00,11.69
42.86,91.0,5.71,4.14,4.02,,4.75,22.47,80.36,1.16,45.51,1007.91,2023-12-24 05:00:00,11.7
